# nuc_name	rt_name
print	__nucleor_print_str
vecdeque_clear	__nucleor_vecdeque_clear
vecdeque_free	__nucleor_vecdeque_free
hashset_new	__nucleor_hashset_new
hashset_with_capacity	__nucleor_hashset_with_capacity
hashset_insert	__nucleor_hashset_insert
hashset_contains	__nucleor_hashset_contains
hashset_remove	__nucleor_hashset_remove
hashset_len	__nucleor_hashset_len
hashset_clear	__nucleor_hashset_clear
hashset_free	__nucleor_hashset_free
btreemap_new	__nucleor_btreemap_new
btreemap_insert	__nucleor_btreemap_insert
btreemap_get	__nucleor_btreemap_get
btreemap_contains	__nucleor_btreemap_contains
btreemap_contains_key	__nucleor_btreemap_contains_key
btreemap_remove	__nucleor_btreemap_remove
btreemap_len	__nucleor_btreemap_len
btreemap_key_at	__nucleor_btreemap_key_at
btreemap_val_at	__nucleor_btreemap_val_at
btreemap_clear	__nucleor_btreemap_clear
btreemap_free	__nucleor_btreemap_free
btreeset_new	__nucleor_btreeset_new
btreeset_insert	__nucleor_btreeset_insert
btreeset_contains	__nucleor_btreeset_contains
btreeset_remove	__nucleor_btreeset_remove
btreeset_len	__nucleor_btreeset_len
btreeset_at	__nucleor_btreeset_at
btreeset_clear	__nucleor_btreeset_clear
btreeset_free	__nucleor_btreeset_free
fs_exists	__nucleor_fs_exists
fs_is_file	__nucleor_fs_is_file
fs_is_dir	__nucleor_fs_is_dir
fs_size	__nucleor_fs_size
fs_mtime	__nucleor_fs_mtime
fs_create_dir	__nucleor_fs_create_dir
fs_create_dir_all	__nucleor_fs_create_dir_all
fs_remove_file	__nucleor_fs_remove_file
fs_rename	__nucleor_fs_rename
fs_list_dir	__nucleor_fs_list_dir
fs_join	__nucleor_fs_join
fs_basename	__nucleor_fs_basename
fs_dirname	__nucleor_fs_dirname
fs_extension	__nucleor_fs_extension
fs_temp_dir	__nucleor_fs_temp_dir
fs_current_dir	__nucleor_fs_current_dir
fs_remove_dir	__nucleor_fs_remove_dir
fs_copy_file	__nucleor_fs_copy_file
fs_canonicalize	__nucleor_fs_canonicalize
path_separator	__nucleor_path_separator
path_is_absolute	__nucleor_path_is_absolute
path_normalize	__nucleor_path_normalize
path_with_extension	__nucleor_path_with_extension
path_strip_extension	__nucleor_path_strip_extension
path_components	__nucleor_path_components
toml_parse_string	__nucleor_toml_parse_string
toml_parse_file	__nucleor_toml_parse_file
toml_get_str	__nucleor_toml_get_str
toml_get_int	__nucleor_toml_get_int
toml_has	__nucleor_toml_has
manifest_validate	__nucleor_manifest_validate
manifest_report	__nucleor_manifest_report
buf_write_u8	__nucleor_buf_write_u8
buf_write_u16_le	__nucleor_buf_write_u16_le
buf_write_u16_be	__nucleor_buf_write_u16_be
buf_write_u32_le	__nucleor_buf_write_u32_le
buf_write_u32_be	__nucleor_buf_write_u32_be
buf_write_u64_le	__nucleor_buf_write_u64_le
buf_write_u64_be	__nucleor_buf_write_u64_be
buf_read_u8	__nucleor_buf_read_u8
buf_read_u16_le	__nucleor_buf_read_u16_le
buf_read_u16_be	__nucleor_buf_read_u16_be
buf_read_u32_le	__nucleor_buf_read_u32_le
buf_read_u32_be	__nucleor_buf_read_u32_be
buf_read_u64_le	__nucleor_buf_read_u64_le
buf_read_u64_be	__nucleor_buf_read_u64_be
msgpack_write_nil	__nucleor_msgpack_write_nil
msgpack_write_bool	__nucleor_msgpack_write_bool
msgpack_write_uint	__nucleor_msgpack_write_uint
msgpack_write_str	__nucleor_msgpack_write_str
crc32	__nucleor_crc32
crc32_update	__nucleor_crc32_update
sha256_hex	__nucleor_sha256_hex
base64_encode	__nucleor_base64_encode
base64_decode	__nucleor_base64_decode
uuid_v4	__nucleor_uuid_v4
atomic_i64_new	__nucleor_atomic_i64_new
atomic_i64_free	__nucleor_atomic_i64_free
atomic_i64_load	__nucleor_atomic_i64_load
atomic_i64_store	__nucleor_atomic_i64_store
atomic_i64_fetch_add	__nucleor_atomic_i64_fetch_add
atomic_i64_fetch_sub	__nucleor_atomic_i64_fetch_sub
atomic_i64_fetch_and	__nucleor_atomic_i64_fetch_and
atomic_i64_fetch_or	__nucleor_atomic_i64_fetch_or
atomic_i64_fetch_xor	__nucleor_atomic_i64_fetch_xor
atomic_i64_swap	__nucleor_atomic_i64_swap
atomic_i64_cas	__nucleor_atomic_i64_cas
popcount	__nucleor_popcount
leading_zeros	__nucleor_leading_zeros
trailing_zeros	__nucleor_trailing_zeros
byte_swap	__nucleor_byte_swap
rotate_left	__nucleor_rotate_left
rotate_right	__nucleor_rotate_right
count_ones	__nucleor_count_ones
count_zeros	__nucleor_count_zeros
i64_abs	__nucleor_i64_abs
i64_min	__nucleor_i64_min
i64_max	__nucleor_i64_max
i64_clamp	__nucleor_i64_clamp
i64_sign	__nucleor_i64_sign
i64_pow	__nucleor_i64_pow
i64_isqrt	__nucleor_i64_isqrt
i64_gcd	__nucleor_i64_gcd
i64_lcm	__nucleor_i64_lcm
f64_sin	__nucleor_f64_sin
f64_cos	__nucleor_f64_cos
f64_tan	__nucleor_f64_tan
f64_asin	__nucleor_f64_asin
f64_acos	__nucleor_f64_acos
f64_atan	__nucleor_f64_atan
f64_atan2	__nucleor_f64_atan2
f64_sinh	__nucleor_f64_sinh
f64_cosh	__nucleor_f64_cosh
f64_tanh	__nucleor_f64_tanh
f64_exp	__nucleor_f64_exp
f64_erf	__nucleor_f64_erf
f64_erfc	__nucleor_f64_erfc
f64_lgamma	__nucleor_f64_lgamma
f64_tgamma	__nucleor_f64_tgamma
f64_betainc	__nucleor_f64_betainc
f64_student_t_sf2	__nucleor_f64_student_t_sf2
f64_norm_cdf	__nucleor_f64_norm_cdf
f64_norm_sf	__nucleor_f64_norm_sf
f64_exp2	__nucleor_f64_exp2
f64_log	__nucleor_f64_log
f64_log2	__nucleor_f64_log2
f64_log10	__nucleor_f64_log10
f64_pow_v	__nucleor_f64_pow_v
f64_floor	__nucleor_f64_floor
f64_ceil	__nucleor_f64_ceil
f64_round	__nucleor_f64_round
f64_trunc	__nucleor_f64_trunc
f64_fmod	__nucleor_f64_fmod
f64_hypot	__nucleor_f64_hypot
f64_clamp	__nucleor_f64_clamp
f64_abs	__nucleor_f64_abs
f64_min	__nucleor_f64_min
f64_max	__nucleor_f64_max
f64_sign	__nucleor_f64_sign
f64_copy_sign	__nucleor_f64_copy_sign
f64_lerp	__nucleor_f64_lerp
f64_is_nan	__nucleor_f64_is_nan
f64_is_inf	__nucleor_f64_is_inf
f64_is_finite	__nucleor_f64_is_finite
f64_pi	__nucleor_f64_pi
f64_tau	__nucleor_f64_tau
f64_e	__nucleor_f64_e
f64_sqrt2	__nucleor_f64_sqrt2
f64_ln2	__nucleor_f64_ln2
f64_ln10	__nucleor_f64_ln10
f64_deg_to_rad	__nucleor_f64_deg_to_rad
f64_rad_to_deg	__nucleor_f64_rad_to_deg
par_map	__nucleor_par_map
par_fold	__nucleor_par_fold
par_reduce	__nucleor_par_reduce
region_new	__nucleor_region_new
region_alloc	__nucleor_region_alloc
region_free	__nucleor_region_free
region_reset	__nucleor_region_reset
__nucleor_hashmap_new	__nucleor_hashmap_new
__nucleor_hashmap_insert	__nucleor_hashmap_insert
__nucleor_hashmap_get	__nucleor_hashmap_get
__nucleor_hashmap_contains	__nucleor_hashmap_contains
__nucleor_sym_aux_get	__nucleor_sym_aux_get
__nucleor_sym_aux_create	__nucleor_sym_aux_create
__nucleor_sym_aux_built_at	__nucleor_sym_aux_built_at
__nucleor_sym_aux_set_built_at	__nucleor_sym_aux_set_built_at
__nucleor_compile_src_set	__nucleor_compile_src_set
__nucleor_compile_src_get	__nucleor_compile_src_get
__nucleor_compile_src_clear	__nucleor_compile_src_clear
__nucleor_parse_depth_inc	__nucleor_parse_depth_inc
__nucleor_parse_depth_dec	__nucleor_parse_depth_dec
__nucleor_parse_depth_get	__nucleor_parse_depth_get
__nucleor_parse_depth_reset	__nucleor_parse_depth_reset
__nucleor_source_bare_cr_offset	__nucleor_source_bare_cr_offset
__nucleor_str_cache_get	__nucleor_str_cache_get
__nucleor_str_cache_put	__nucleor_str_cache_put
__nucleor_str_cache_put_miss	__nucleor_str_cache_put_miss
__nucleor_str_cache_is_miss_marker	__nucleor_str_cache_is_miss_marker
