"layer","finding_id","severity","root_cause_bucket","audit_doc","source_line","original_reproducer","expected_invariant","status_v100","status_candidate","status_final","closing_commit","validation_command","validation_result","perf_result","notes"
"Layer 1 Lexer/Parser/AST","F-020","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","171","","[High] [Silent accept] Leading zeros (`007`) silently accepted as decimal","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-020","PASS rc=0; lexer/parser audit invariant holds for F-020","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-021","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","176","","[Critical] [Silent miscompile] Hex literal > 64 bits silently wraps with no diagnostic","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-021","PASS rc=0; lexer/parser audit invariant holds for F-021","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-022","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","182","","[High] [Silent accept] Unknown integer suffix (`1z42`) drops suffix silently as adjacent ident","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-022","PASS rc=0; lexer/parser audit invariant holds for F-022","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-023","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","187","","[High] [Silent accept] Unknown int suffix `1i9` silently rewinds and drops `i9`","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-023","PASS rc=0; lexer/parser audit invariant holds for F-023","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-024","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","193","","[High] [Silent accept] `0xZ` invalid hex digit silently consumed as ident","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-024","PASS rc=0; lexer/parser audit invariant holds for F-024","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-025","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","198","","[Critical] [Wrong-class diagnostic] Empty char literal `''` reports ""loop labels not yet supported""","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-025","PASS rc=0; lexer/parser audit invariant holds for F-025","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-026","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","204","","[High] [Wrong-class diagnostic] `'ab'` (multi-char char literal) gives ""loop labels"" error","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-026","PASS rc=0; lexer/parser audit invariant holds for F-026","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-027","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","209","","[High] [Silent accept] Three apostrophes `'''` silently lex to lifetime token + something","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-027","PASS rc=0; lexer/parser audit invariant holds for F-027","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-028","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","214","","[Critical] [Silent miscompile] Float literals that overflow (`1e400`) silently produce Inf","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-028","PASS rc=0; lexer/parser audit invariant holds for F-028","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-029","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","220","","[High] [Silent accept] Multi-line string literals (raw newline inside `""...""`)","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-029","PASS rc=0; lexer/parser audit invariant holds for F-029","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-030","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","225","","[High] [Silent accept] Back-to-back string literals `""a""""b""` accepted as two strings","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-030","PASS rc=0; lexer/parser audit invariant holds for F-030","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-031","Critical","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","230","","[Critical] [Silent accept + dropped tokens] Stray garbage between tokens silently dropped","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-031","PASS rc=0; lexer/parser audit invariant holds for F-031","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-032","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","235","","[High] [Wrong-class diagnostic] `.5` (leading-dot float) gives ""parse_primary cannot start an expression at token kind 45""","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-032","PASS rc=0; lexer/parser audit invariant holds for F-032","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-033","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","240","","[High] [Wrong-class diagnostic] `1.` (trailing-dot float) reads as `1` then field-access `.`","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-033","PASS rc=0; lexer/parser audit invariant holds for F-033","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-035","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","251","","[High] [Wrong-class diagnostic] `1 + + + + + 2` mis-diagnosed as ""post-increment""","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-035","PASS rc=0; lexer/parser audit invariant holds for F-035","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-036","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","256","","[High] [Silent accept] Missing comma between match arms silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-036","PASS rc=0; lexer/parser audit invariant holds for F-036","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-037","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","261","","[High] [Silent accept] Extra commas in fn-call args silently dropped","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-037","PASS rc=0; lexer/parser audit invariant holds for F-037","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-038","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","267","","[High] [Silent accept] Missing `;` at end of trailing-comma struct decl silently accepted; struct empty bodies, enum empty bodies all accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-038","PASS rc=0; lexer/parser audit invariant holds for F-038","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-039","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","272","","[High] [Silent accept] `for i in 5..1` (descending/empty range) silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-039","PASS rc=0; lexer/parser audit invariant holds for F-039","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-041","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","282","","[High] [Silent accept] Missing return type on fn declaration silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-041","PASS rc=0; lexer/parser audit invariant holds for F-041","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-046","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","309","","[High] [Silent accept] CR-only line endings (`\r` between statements, no `\n`) silently parsed as if they were spaces","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-046","PASS rc=0; lexer/parser audit invariant holds for F-046","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-047","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","315","","[High] [Silent accept] CRLF inside string literal preserved as-is (CR + LF in resulting str)","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-047","PASS rc=0; lexer/parser audit invariant holds for F-047","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-048","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","320","","[High] [Wrong-class diagnostic] `let x: ;` reports OWN-008 about binding `i64` instead of NR020 missing-type","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-048","PASS rc=0; lexer/parser audit invariant holds for F-048","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-050","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","330","","[High] [Silent accept] `import` without quotes silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-050","PASS rc=0; lexer/parser audit invariant holds for F-050","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-051","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","335","","[High] [Silent accept] `import """"` (empty path) silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-051","PASS rc=0; lexer/parser audit invariant holds for F-051","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-053","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","345","","[High] [Silent accept] `||;` (closure with no body) silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-053","PASS rc=0; lexer/parser audit invariant holds for F-053","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-054","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","350","","[High] [Silent accept] `let fn: i64 = 5;` (keyword as binding name) silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-054","PASS rc=0; lexer/parser audit invariant holds for F-054","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-056","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","361","","[High] [Silent accept] `(-5)` and `- - 5` (multi-unary-minus) silently accepted (probably correct, but verify edge)","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-056","PASS rc=0; lexer/parser audit invariant holds for F-056","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-057","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","366","","[High] [Silent accept] `import` etc. directives accepting non-keyword positions","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-057","PASS rc=0; lexer/parser audit invariant holds for F-057","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-058","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","369","","[High] [Silent accept] Block comments `/* ... */` rejected - but with full halt instead of attempt-to-skip; halt diag itself is correct, but **doc-comments `///` and `/** */`** were not tested in this pass.","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-058","PASS rc=0; lexer/parser audit invariant holds for F-058","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-060","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","377","","[High] [Silent accept] String escape `\<bare-eof>` (file ends mid-escape) - diag emitted but wraps newline char in ""unknown escape""","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-060","PASS rc=0; lexer/parser audit invariant holds for F-060","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-063","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","388","","[High] [Silent accept] Whitespace-only and comment-only files lex/parse cleanly but fail with cryptic linker error","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-063","PASS rc=0; lexer/parser audit invariant holds for F-063","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-075","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","428","","[High] [Silent accept] `fn helper() { }` accepted with no `-> ReturnType`; spec 3 requires return type","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-075","PASS rc=0; lexer/parser audit invariant holds for F-075","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-076","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","431","","[High] [Silent accept] `1z42` (and `1abc`, etc.) parsed silently because lexer rewinds on unknown int suffix and produces ident token","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-076","PASS rc=0; lexer/parser audit invariant holds for F-076","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 1 Lexer/Parser/AST","F-078","High","source_bytes_and_lexer","docs/audit/findings/audit_recon_pass1_lexer_parser_2026-05-08.md","437","","[High] [Silent accept] Many tokens consumed as expression-statements when between statements, with no diagnostic - the underlying enabling condition for most F-012-cousin findings","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_lexer_parser_audit_slice.ps1 -Finding F-078","PASS rc=0; lexer/parser audit invariant holds for F-078","promoted 1.1.0 fixed-point md5=f05068a14f0d041c8da09ef8e97b4c94; frontend-only checks, post-change perf measured separately under 4.25s gate","closed by Layer 1 validator; note/doc-drift rows are documented and proof-checked where applicable"
"Layer 4 Memory Safety/Effects","G1-FN-1","Critical","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","65","","(Critical) - Aliased Vec handle defeats auto-drop double-free protection","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G1-FN-1","PASS rc=0; err_g1_raw_handle_cast rejects owned Vec/HashMap/StringBuilder/Box raw handle casts with OWN-G1-RAW-HANDLE-CAST","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by type-aware cast guard before ownership identity can be erased."
"Layer 4 Memory Safety/Effects","G1-X-1","Critical","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","87","","(Critical) - Composition: alias + auto-drop double-free","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G1-X-1","PASS rc=0; g1_alias_auto_drop_transfer_ok runs and emitted LLVM contains exactly one __nucleor_vec_free call","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by typed alias transfer and IR proof that cleanup obligation is emitted once."
"Layer 4 Memory Safety/Effects","G2-A-1","Critical","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","99","","(Critical) - Multi-input lifetime mismatch silently accepted","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G2-A-1","PASS rc=0; multi-input explicit lifetime mismatch rejects with BORROW-G2-LIFETIME","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by lifetime-list lexer fix plus source-signature label recovery for explicit multi-input lifetime correspondence."
"Layer 4 Memory Safety/Effects","G2-FN-1","High","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","115","","(High) - Single-input via intermediate let-binding undermined","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G2-FN-1","PASS rc=0; intermediate let-binding lifetime root traces and rejects with BORROW-G2-LIFETIME","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by following intermediate ref roots before applying the single-input lifetime rule."
"Layer 4 Memory Safety/Effects","G3-X-1","Critical","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","137","","(Critical) - `hashmap_free` not in the rehash-guard list","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G3-X-1","PASS rc=0; hashmap_free while collection borrow live rejects with ALIAS-G3-HASHMAP-REHASH","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by including free operations in live collection-borrow invalidation."
"Layer 4 Memory Safety/Effects","G3-FP-1","High","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","152","","(High) - `Vec<&T>` audit-pass heuristic counts comments","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G3-FP-1","PASS rc=0; comments/strings are stripped before alias scan; no ALIAS-G3 warning emitted","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by scanning stripped source so comments and strings do not create alias-analysis noise."
"Layer 4 Memory Safety/Effects","G3-FN-1","High","ownership_borrow_init_flow","docs/audit/findings/audit_recon_pass1_memsafe_2026-05-08.md","160","","(High) - Per-call-site error doesn't reach `vec_extend` / `vec_append`","audit_reported","claimed_closed_with_proof","proven_closed","","powershell -NoProfile -ExecutionPolicy Bypass -File tools\validate_memsafe_audit_slice.ps1 -Finding G3-FN-1","PASS rc=0; vec_extend and vec_insert_at into Vec<&T> reject with ALIAS-G3-VEC-OF-REFS","promoted 1.1.0 fixed-point md5=bdc2c1b1f17756a646ad0d9b4ce65874; cold self-compile 4.171s (<4.25s cap); bash tools/check_compiler_drift.sh rc=0","Closed by expanding Vec-of-refs mutator coverage to vec_extend and vec_insert_at."
